year,day,hour,t_air_ave,t_air_max,t_air_min,rh_max,rh_min,p_vap_ave,sr_tot,wnd_v_ave,wnd_v_max,wnd_dir_ave,pr_tot,t_sol_ave,t_sol_max,t_sol_min
2010,1,100,2.08,2.75,1.62,81.02,78.47,0.57,-1,3.79,318.05,6.8,0,5.74,6.1,5.37
2010,1,200,1.28,1.68,0.88,83.77,80.82,0.55,0,3.07,318.65,5.53,0,5.08,5.38,4.79
2010,1,300,0.67,1.01,0.34,85.45,83.63,0.54,0,3.1,313.86,4.93,0,4.55,4.79,4.31
2010,1,400,0.08,0.48,-0.25,86.93,85.25,0.53,0,2.39,319.25,4.18,0,4.2,4.32,4.09
2010,1,500,-0.58,-0.18,-0.99,88.82,86.61,0.51,0,3.66,343.42,5.6,0,3.98,4.1,3.85
2010,1,600,-1.11,-0.78,-1.45,89.1,88.02,0.5,0,2.33,330.56,5.08,0,3.73,3.86,3.62
2010,1,700,-1.32,-1.18,-1.45,89.37,87.83,0.49,0,2.04,315.15,4.03,0,3.51,3.65,3.39
2010,1,800,-1.36,-1.24,-1.51,87.97,85.96,0.48,52,2.12,310.6,4.03,0,3.28,3.4,3.15
2010,1,900,-0.7,0.16,-1.31,86.17,80.46,0.49,627,1.53,312.56,4.18,0,3.1,3.16,3.05
2010,1,1000,1.03,1.9,-0.04,80.66,70.92,0.5,1294,2.75,323.45,5.45,0,3.09,3.25,3.04
2010,1,1100,3.23,4.76,1.69,74.87,56.89,0.51,1830,2.83,345.83,4.63,0,4.22,5.32,3.24
2010,1,1200,5.68,6.83,4.63,61.18,51.38,0.51,2166,1.85,18.67,3.88,0,6.44,7.62,5.31
2010,1,1300,7.3,8.29,6.36,56.67,49.63,0.54,2281,1.36,50.32,3.95,0,8.7,9.67,7.62
2010,1,1400,8.81,9.62,8.22,51.5,40.58,0.53,1648,1.74,31.2,4.78,0,10.45,11.09,9.68
2010,1,1500,10,10.55,9.35,43.39,30.06,0.47,1811,0.9,65.1,3.58,0,10.97,11.26,10.68
2010,1,1600,10.36,10.68,9.94,40.98,32.34,0.45,1319,0.92,121.91,3.35,0,11.11,11.27,10.79
2010,1,1700,10.62,13.96,10.28,38.96,32.67,0.45,676,0.6,160.06,2.98,0,10.98,11.24,10.48
2010,1,1800,9.45,10.34,8.61,41.71,37.56,0.46,81,0.3,185.28,1.48,0,9.69,10.48,8.85
2010,1,1900,8.23,8.75,7.82,43.46,38.5,0.45,0,0.02,199.92,0.65,0,8.11,8.85,7.45
2010,1,2000,7.44,8.22,6.68,47.42,40.19,0.45,0,0.72,220.78,1.48,0,6.97,7.47,6.52
2010,1,2100,6.54,7.37,5.76,50.59,42.95,0.46,-1,0.11,215.22,1.03,0,6.15,6.53,5.81
2010,1,2200,6.32,6.91,5.76,49.98,44.63,0.45,-1,0.54,124.53,1.03,0,5.51,5.81,5.24
2010,1,2300,6.29,6.97,4.9,52.27,44.16,0.45,-1,1.29,115.96,1.93,0,5.01,5.24,4.81
2010,1,2400,2.4,4.9,1.21,74.38,52.54,0.49,-1,1.84,107.48,3.73,0,4.61,4.82,4.41
2010,2,100,3.55,4.36,2.69,65.27,56.69,0.47,0,1.44,122.42,2.08,0,4.27,4.41,4.11
2010,2,200,3.81,4.5,3.02,62.93,56.89,0.48,0,1.57,124.07,2.3,0,3.99,4.12,3.9
2010,2,300,2.5,4.03,1.41,70.03,57.9,0.48,0,1.62,76.7,2.08,0,3.79,3.9,3.67
2010,2,400,1.61,2.55,0.55,76.47,65.01,0.48,0,1.13,159.01,2,0,3.56,3.68,3.44
2010,2,500,1.62,1.96,1.29,73.12,69.45,0.49,0,0.05,262.26,0.95,0,3.33,3.46,3.2
2010,2,600,1.02,1.83,0.42,76.55,70.05,0.48,0,0.24,7.66,1.55,0,3.1,3.22,2.99
2010,2,700,1.99,2.44,1.29,73.47,68.65,0.49,0,0,0,0,0,2.89,3,2.8
2010,2,800,1.47,2.3,0.63,76.02,68.51,0.49,33,0.27,101.1,1.33,0,2.7,2.81,2.6
2010,2,900,0.8,1.43,0.36,78.17,75.49,0.5,407,0.2,107.24,1.4,0,2.6,2.62,2.57
2010,2,1000,3.66,5.71,1.43,78.16,69.37,0.59,1109,0.77,148.69,2.83,0,2.94,3.72,2.61
2010,2,1100,6.89,7.71,5.71,72.18,57.42,0.63,1743,2.52,156.89,4.55,0,4.88,5.99,3.72
2010,2,1200,8.49,9.36,7.57,61.98,47.96,0.6,2139,3.57,158.84,5.3,0,7.06,8.07,5.98
2010,2,1300,9.56,10.23,9.03,53.78,45.07,0.58,2129,3.96,167.59,6.05,0,8.94,9.59,8.08
